ID,Distance,Variety,,,,,,,,,,,,,,
248,0.298061224,DESIREE,,,,,,,,,,,,,,
249,0.315714286,DESIREE,,,,,,,,,,,,,,
250,0.220918367,DESIREE,,,,,,,,,,,,,,
251,0.228163265,DESIREE,,,,,,,,,,,,,,
252,0.228469388,DESIREE,,,,,,,,,,,,,,
253,0.291938776,DESIREE,,,,,,,,,,,,,,
254,0.278265306,DESIREE,,,,,,,,,,,,,,
255,0.27744898,DESIREE,,,,,,,,,,,,,,
256,0.223367347,DESIREE,,,,,,,,,,,,,,
257,0.268163265,DESIREE,,,,,,,,,,,,,,
258,0.257755102,DESIREE,,,,,,,,,,,,,,
259,0.186938776,DESIREE,,,,,,,,,,,,,,
260,0.255102041,DESIREE,,,,,,,,,,,,,,
261,0.271428571,DESIREE,,,,,,,,,,,,,,
262,0.250102041,DESIREE,,,,,,,,,,,,,,
263,0.242959184,DESIREE,,,,,,,,,,,,,,
264,0.218673469,DESIREE,,,,,,,,,,,,,,
265,0.253163265,DESIREE,,,,,,,,,,,,,,
266,0.230408163,DESIREE,,,,,,,,,,,,,,
267,0.255918367,DESIREE,,,,,,,,,,,,,,
268,0.270408163,DESIREE,,,,,,,,,,,,,,
269,0.250714286,DESIREE,,,,,,,,,,,,,,
270,0.266122449,DESIREE,,,,,,,,,,,,,,
271,0.205204082,DESIREE,,,,,,,,,,,,,,
272,0.19255102,DESIREE,,,,,,,,,,,,,,
273,0.227244898,DESIREE,,,,,,,,,,,,,,
274,0.314693878,JELLY,,,,,,,,,,,,,,
275,0.249591837,JELLY,,,,,,,,,,,,,,
276,0.245306122,JELLY,,,,,,,,,,,,,,
277,0.325408163,JELLY,,,,,,,,,,,,,,
278,0.249897959,JELLY,,,,,,,,,,,,,,
279,0.310204082,JELLY,,,,,,,,,,,,,,
280,0.255,JELLY,,,,,,,,,,,,,,
281,0.202857143,JELLY,,,,,,,,,,,,,,
282,0.324693878,JELLY,,,,,,,,,,,,,,
283,0.285408163,JELLY,,,,,,,,,,,,,,
284,0.307346939,JELLY,,,,,,,,,,,,,,
285,0.25755102,JELLY,,,,,,,,,,,,,,
286,0.288673469,JELLY,,,,,,,,,,,,,,
287,0.250102041,JELLY,,,,,,,,,,,,,,
288,0.247755102,JELLY,,,,,,,,,,,,,,
289,0.271020408,JELLY,,,,,,,,,,,,,,
290,0.220612245,JELLY,,,,,,,,,,,,,,
291,0.261836735,JELLY,,,,,,,,,,,,,,
292,0.263469388,JELLY,,,,,,,,,,,,,,
293,0.255612245,JELLY,,,,,,,,,,,,,,
294,0.300408163,JELLY,,,,,,,,,,,,,,
295,0.276428571,JELLY,,,,,,,,,,,,,,
296,0.262244898,JELLY,,,,,,,,,,,,,,
297,0.302244898,JELLY,,,,,,,,,,,,,,
298,0.26244898,JELLY,,,,,,,,,,,,,,
299,0.315816327,JELLY,,,,,,,,,,,,,,
300,0.299693878,JELLY,,,,,,,,,,,,,,
301,0.222857143,JELLY,,,,,,,,,,,,,,
302,0.250612245,JELLY,,,,,,,,,,,,,,
303,0.269591837,JELLY,,,,,,,,,,,,,,
304,0.28877551,JELLY,,,,,,,,,,,,,,
305,0.203061224,JELLY,,,,,,,,,,,,,,
306,0.243367347,JELLY,,,,,,,,,,,,,,
307,0.287142857,JELLY,,,,,,,,,,,,,,
308,0.234489796,JELLY,,,,,,,,,,,,,,
309,0.291734694,JELLY,,,,,,,,,,,,,,
310,0.224387755,JELLY,,,,,,,,,,,,,,
311,0.297857143,JELLY,,,,,,,,,,,,,,
312,0.262959184,JELLY,,,,,,,,,,,,,,
313,0.260918367,JELLY,,,,,,,,,,,,,,
314,0.284285714,JELLY,,,,,,,,,,,,,,
315,0.288265306,JELLY,,,,,,,,,,,,,,
316,0.210204082,JELLY,,,,,,,,,,,,,,
317,0.194897959,JELLY,,,,,,,,,,,,,,
318,0.266020408,JELLY,,,,,,,,,,,,,,
319,0.251836735,JELLY,,,,,,,,,,,,,,
320,0.265714286,JELLY,,,,,,,,,,,,,,
321,0.218979592,JELLY,,,,,,,,,,,,,,
322,0.265816327,JELLY,,,,,,,,,,,,,,
323,0.240102041,JELLY,,,,,,,,,,,,,,
324,0.239795918,JELLY,,,,,,,,,,,,,,
325,0.229693878,JELLY,,,,,,,,,,,,,,
326,0.205,JELLY,,,,,,,,,,,,,,
327,0.282959184,JELLY,,,,,,,,,,,,,,
328,0.252755102,JELLY,,,,,,,,,,,,,,
329,0.216530612,JELLY,,,,,,,,,,,,,,
330,0.26122449,JELLY,,,,,,,,,,,,,,
331,0.217244898,JELLY,,,,,,,,,,,,,,
332,0.279489796,JELLY,,,,,,,,,,,,,,
333,0.280612245,JELLY,,,,,,,,,,,,,,
334,0.19377551,JELLY,,,,,,,,,,,,,,
335,0.201632653,JELLY,,,,,,,,,,,,,,
336,0.221530612,JELLY,,,,,,,,,,,,,,
337,0.282755102,JELLY,,,,,,,,,,,,,,
338,0.231530612,JELLY,,,,,,,,,,,,,,
339,0.267959184,JELLY,,,,,,,,,,,,,,
340,0.283265306,JELLY,,,,,,,,,,,,,,
341,0.273469388,JELLY,,,,,,,,,,,,,,
342,0.257653061,JELLY,,,,,,,,,,,,,,
343,0.216632653,JELLY,,,,,,,,,,,,,,
344,0.273673469,JELLY,,,,,,,,,,,,,,
345,0.295,JELLY,,,,,,,,,,,,,,
346,0.255612245,JELLY,,,,,,,,,,,,,,
347,0.298265306,JELLY,,,,,,,,,,,,,,
348,0.285204082,JELLY,,,,,,,,,,,,,,
349,0.280612245,JELLY,,,,,,,,,,,,,,
350,0.261836735,JELLY,,,,,,,,,,,,,,
351,0.211938776,JELLY,,,,,,,,,,,,,,
352,0.296734694,JELLY,,,,,,,,,,,,,,
353,0.232346939,JELLY,,,,,,,,,,,,,,
354,0.291020408,JELLY,,,,,,,,,,,,,,
355,0.219591837,JELLY,,,,,,,,,,,,,,
356,0.266632653,JELLY,,,,,,,,,,,,,,
357,0.246326531,JELLY,,,,,,,,,,,,,,
358,0.311326531,JELLY,,,,,,,,,,,,,,
359,0.253571429,JELLY,,,,,,,,,,,,,,
360,0.28,JELLY,,,,,,,,,,,,,,
361,0.24377551,JELLY,,,,,,,,,,,,,,
362,0.265510204,JELLY,,,,,,,,,,,,,,
363,0.240612245,JELLY,,,,,,,,,,,,,,
364,0.197959184,JELLY,,,,,,,,,,,,,,
365,0.186530612,JELLY,,,,,,,,,,,,,,
366,0.237653061,JELLY,,,,,,,,,,,,,,
367,0.292857143,JELLY,,,,,,,,,,,,,,
368,0.259081633,JELLY,,,,,,,,,,,,,,
369,0.208061224,JELLY,,,,,,,,,,,,,,
370,0.225,JELLY,,,,,,,,,,,,,,
371,0.264591837,JELLY,,,,,,,,,,,,,,
372,0.257959184,JELLY,,,,,,,,,,,,,,
373,0.243469388,JELLY,,,,,,,,,,,,,,
374,0.235510204,JELLY,,,,,,,,,,,,,,
375,0.238877551,JELLY,,,,,,,,,,,,,,
376,0.243061224,JELLY,,,,,,,,,,,,,,
377,0.221836735,JELLY,,,,,,,,,,,,,,
378,0.214387755,JELLY,,,,,,,,,,,,,,
379,0.245306122,KRAB,,,,,,,,,,,,,,
380,0.310204082,KRAB,,,,,,,,,,,,,,
381,0.370408163,KRAB,,,,,,,,,,,,,,
382,0.265102041,KRAB,,,,,,,,,,,,,,
383,0.258367347,KRAB,,,,,,,,,,,,,,
384,0.282244898,KRAB,,,,,,,,,,,,,,
385,0.274285714,KRAB,,,,,,,,,,,,,,
386,0.423061224,KRAB,,,,,,,,,,,,,,
387,0.28,KRAB,,,,,,,,,,,,,,
388,0.27377551,KRAB,,,,,,,,,,,,,,
389,0.248265306,KRAB,,,,,,,,,,,,,,
390,0.221632653,KRAB,,,,,,,,,,,,,,
391,0.243877551,KRAB,,,,,,,,,,,,,,
392,0.383469388,KRAB,,,,,,,,,,,,,,
393,0.22377551,KRAB,,,,,,,,,,,,,,
394,0.286938776,KRAB,,,,,,,,,,,,,,
395,0.247959184,KRAB,,,,,,,,,,,,,,
396,0.29244898,KRAB,,,,,,,,,,,,,,
397,0.228367347,KRAB,,,,,,,,,,,,,,
398,0.280612245,KRAB,,,,,,,,,,,,,,
399,0.339285714,KRAB,,,,,,,,,,,,,,
400,0.320306122,KRAB,,,,,,,,,,,,,,
401,0.362142857,KRAB,,,,,,,,,,,,,,
402,0.263877551,KRAB,,,,,,,,,,,,,,
403,0.300816327,KRAB,,,,,,,,,,,,,,
404,0.279489796,KRAB,,,,,,,,,,,,,,
405,0.261326531,KRAB,,,,,,,,,,,,,,
406,0.231632653,KRAB,,,,,,,,,,,,,,
407,0.415306122,KRAB,,,,,,,,,,,,,,
408,0.203877551,KRAB,,,,,,,,,,,,,,
409,0.240714286,KRAB,,,,,,,,,,,,,,
410,0.277959184,KRAB,,,,,,,,,,,,,,
411,0.25244898,KRAB,,,,,,,,,,,,,,
412,0.288163265,KRAB,,,,,,,,,,,,,,
413,0.314795918,KRAB,,,,,,,,,,,,,,
414,0.340408163,KRAB,,,,,,,,,,,,,,
415,0.340918367,KRAB,,,,,,,,,,,,,,
416,0.279387755,KRAB,,,,,,,,,,,,,,
417,0.299285714,KRAB,,,,,,,,,,,,,,
418,0.30255102,KRAB,,,,,,,,,,,,,,
419,0.285306122,KRAB,,,,,,,,,,,,,,
420,0.289489796,KRAB,,,,,,,,,,,,,,
421,0.428367347,KRAB,,,,,,,,,,,,,,
422,0.280306122,KRAB,,,,,,,,,,,,,,
423,0.244285714,KRAB,,,,,,,,,,,,,,
424,0.289285714,KRAB,,,,,,,,,,,,,,
425,0.373877551,KRAB,,,,,,,,,,,,,,
426,0.421428571,KRAB,,,,,,,,,,,,,,
427,0.417857143,KRAB,,,,,,,,,,,,,,
428,0.320408163,KRAB,,,,,,,,,,,,,,
429,0.342857143,KRAB,,,,,,,,,,,,,,
430,0.381122449,KRAB,,,,,,,,,,,,,,
431,0.397346939,KRAB,,,,,,,,,,,,,,
432,0.371836735,KRAB,,,,,,,,,,,,,,
433,0.378979592,KRAB,,,,,,,,,,,,,,
434,0.461632653,KRAB,,,,,,,,,,,,,,
435,0.340102041,KRAB,,,,,,,,,,,,,,
436,0.277244898,KRAB,,,,,,,,,,,,,,
437,0.257040816,KRAB,,,,,,,,,,,,,,
438,0.306326531,KRAB,,,,,,,,,,,,,,
439,0.341122449,KRAB,,,,,,,,,,,,,,
440,0.356428571,KRAB,,,,,,,,,,,,,,
441,0.237244898,KRAB,,,,,,,,,,,,,,
442,0.284183673,KRAB,,,,,,,,,,,,,,
443,0.324693878,KRAB,,,,,,,,,,,,,,
444,0.272142857,KRAB,,,,,,,,,,,,,,
445,0.310408163,KRAB,,,,,,,,,,,,,,
446,0.451326531,KRAB,,,,,,,,,,,,,,
447,0.270612245,KRAB,,,,,,,,,,,,,,
448,0.232040816,KRAB,,,,,,,,,,,,,,
449,0.251122449,KRAB,,,,,,,,,,,,,,
450,0.228673469,KRAB,,,,,,,,,,,,,,
451,0.381530612,KRAB,,,,,,,,,,,,,,
452,0.278163265,KRAB,,,,,,,,,,,,,,
453,0.252346939,KRAB,,,,,,,,,,,,,,
454,0.302857143,KRAB,,,,,,,,,,,,,,
455,0.26377551,KRAB,,,,,,,,,,,,,,
456,0.283877551,KRAB,,,,,,,,,,,,,,
457,0.429693878,KRAB,,,,,,,,,,,,,,
458,0.235612245,KRAB,,,,,,,,,,,,,,
459,0.247142857,KRAB,,,,,,,,,,,,,,
460,0.317244898,KRAB,,,,,,,,,,,,,,
461,0.434183673,KRAB,,,,,,,,,,,,,,
462,0.306326531,KRAB,,,,,,,,,,,,,,
463,0.251326531,KRAB,,,,,,,,,,,,,,
464,0.322142857,KRAB,,,,,,,,,,,,,,
465,0.305306122,KRAB,,,,,,,,,,,,,,
466,0.328163265,KRAB,,,,,,,,,,,,,,
467,0.449693878,KRAB,,,,,,,,,,,,,,
468,0.309897959,KRAB,,,,,,,,,,,,,,
469,0.281734694,KRAB,,,,,,,,,,,,,,
470,0.460816327,KRAB,,,,,,,,,,,,,,
471,0.369591837,KRAB,,,,,,,,,,,,,,
472,0.301326531,KRAB,,,,,,,,,,,,,,
473,0.269591837,KRAB,,,,,,,,,,,,,,
474,0.253673469,KRAB,,,,,,,,,,,,,,
475,0.240918367,KRAB,,,,,,,,,,,,,,
476,0.423367347,KRAB,,,,,,,,,,,,,,
477,0.24377551,KRAB,,,,,,,,,,,,,,
478,0.290102041,KRAB,,,,,,,,,,,,,,
479,0.283163265,KRAB,,,,,,,,,,,,,,
480,0.392142857,KRAB,,,,,,,,,,,,,,
481,0.427653061,KRAB,,,,,,,,,,,,,,
482,0.400612245,KRAB,,,,,,,,,,,,,,
483,0.423571429,KRAB,,,,,,,,,,,,,,
484,0.504795918,KRAB,,,,,,,,,,,,,,
485,0.380612245,KRAB,,,,,,,,,,,,,,
486,0.315714286,KRAB,,,,,,,,,,,,,,
487,0.253673469,KRAB,,,,,,,,,,,,,,
488,0.318265306,KRAB,,,,,,,,,,,,,,
489,0.273877551,KRAB,,,,,,,,,,,,,,
490,0.328367347,KRAB,,,,,,,,,,,,,,
491,0.43877551,KRAB,,,,,,,,,,,,,,
492,0.285612245,KRAB,,,,,,,,,,,,,,
493,0.248673469,KRAB,,,,,,,,,,,,,,
494,0.301530612,KRAB,,,,,,,,,,,,,,
495,0.274285714,KRAB,,,,,,,,,,,,,,
496,0.288571429,KRAB,,,,,,,,,,,,,,
497,0.430306122,KRAB,,,,,,,,,,,,,,
498,0.275612245,KRAB,,,,,,,,,,,,,,
499,0.249693878,KRAB,,,,,,,,,,,,,,
500,0.196632653,KRAB,,,,,,,,,,,,,,
501,0.20877551,KRAB,,,,,,,,,,,,,,
502,0.358367347,KRAB,,,,,,,,,,,,,,
503,0.216734694,KRAB,,,,,,,,,,,,,,
504,0.305204082,KRAB,,,,,,,,,,,,,,
505,0.219081633,KRAB,,,,,,,,,,,,,,
506,0.359081633,KRAB,,,,,,,,,,,,,,
507,0.205,KRAB,,,,,,,,,,,,,,
508,0.271530612,KRAB,,,,,,,,,,,,,,
509,0.415816327,KRAB,,,,,,,,,,,,,,
510,0.22755102,KRAB,,,,,,,,,,,,,,
