ID,Distance,Variety
674,0.504561404,PASJA_POMORSKA
675,0.457017544,PASJA_POMORSKA
676,0.477719298,PASJA_POMORSKA
677,0.447719298,PASJA_POMORSKA
678,0.530701754,PASJA_POMORSKA
679,0.437894737,PASJA_POMORSKA
680,0.588245614,PASJA_POMORSKA
681,0.504210526,PASJA_POMORSKA
682,0.430526316,PASJA_POMORSKA
683,0.423859649,PASJA_POMORSKA
684,0.430175439,PASJA_POMORSKA
685,0.623333333,PASJA_POMORSKA
686,0.474736842,PASJA_POMORSKA
687,0.442982456,PASJA_POMORSKA
688,0.48754386,PASJA_POMORSKA
689,0.462105263,PASJA_POMORSKA
690,0.482982456,PASJA_POMORSKA
691,0.453333333,PASJA_POMORSKA
692,0.585964912,PASJA_POMORSKA
693,0.520350877,PASJA_POMORSKA
694,0.470526316,PASJA_POMORSKA
695,0.47122807,PASJA_POMORSKA
696,0.455964912,PASJA_POMORSKA
697,0.629473684,PASJA_POMORSKA
698,0.504912281,PASJA_POMORSKA
699,0.475789474,PASJA_POMORSKA
700,0.396842105,PASJA_POMORSKA
701,0.469473684,PASJA_POMORSKA
702,0.388070175,PASJA_POMORSKA
703,0.578245614,PASJA_POMORSKA
704,0.488070175,PASJA_POMORSKA
705,0.462280702,PASJA_POMORSKA
706,0.441578947,PASJA_POMORSKA
707,0.446666667,PASJA_POMORSKA
708,0.60877193,PASJA_POMORSKA
709,0.492807018,PASJA_POMORSKA
710,0.471052632,PASJA_POMORSKA
711,0.487894737,PASJA_POMORSKA
712,0.385438596,PASJA_POMORSKA
713,0.549122807,PASJA_POMORSKA
714,0.467719298,PASJA_POMORSKA
715,0.448421053,PASJA_POMORSKA
716,0.451403509,PASJA_POMORSKA
717,0.414561404,PASJA_POMORSKA
718,0.637017544,PASJA_POMORSKA
719,0.500350877,PASJA_POMORSKA
720,0.465438596,PASJA_POMORSKA
721,0.472982456,PASJA_POMORSKA
722,0.604912281,PASJA_POMORSKA
723,0.54245614,PASJA_POMORSKA
724,0.499649123,PASJA_POMORSKA
725,0.512105263,PASJA_POMORSKA
726,0.530350877,PASJA_POMORSKA
727,0.612631579,PASJA_POMORSKA
728,0.556666667,PASJA_POMORSKA
729,0.516666667,PASJA_POMORSKA
730,0.568070175,PASJA_POMORSKA
731,0.49,PASJA_POMORSKA
732,0.434035088,PASJA_POMORSKA
733,0.404912281,PASJA_POMORSKA
734,0.39754386,PASJA_POMORSKA
735,0.625438596,PASJA_POMORSKA
736,0.424385965,PASJA_POMORSKA
737,0.437017544,PASJA_POMORSKA
738,0.528421053,PASJA_POMORSKA
739,0.575087719,PASJA_POMORSKA
740,0.585438596,PASJA_POMORSKA
741,0.577017544,PASJA_POMORSKA
742,0.661403509,PASJA_POMORSKA
743,0.561052632,PASJA_POMORSKA
744,0.553684211,PASJA_POMORSKA
745,0.543157895,PASJA_POMORSKA
746,0.543333333,PASJA_POMORSKA
