SampleID;Sample_id;Sample_NO;Soil_type;Sampling_time;Variety;Treatment;Replicate;PlotNO;People;Nucleic.Acid.Con;A260.A280;A260.A230
R_W5_T4_110;R_W5_T4_110;130;rhizo;W5;PASJA_POMORSKA;4;1;110;Michael;73.09;1.722;1.482
R_W5_T5_14;R_W5_T5_14;147;rhizo;W5;PASJA_POMORSKA;5;2;14;Michael;55.33;1.758;1.654
R_W5_T5_37;R_W5_T5_37;153;rhizo;W5;PASJA_POMORSKA;5;1;37;Tianci;49.75;1.581;1.167
R_W5_T5_39;R_W5_T5_39;154;rhizo;W5;PASJA_POMORSKA;5;3;39;Tianci;45.05;1.925;2.618
R_W5_T6_4;R_W5_T6_4;169;rhizo;W5;PASJA_POMORSKA;6;2;4;Xiu;59.86;1.747;1.454
R_W5_T6_24;R_W5_T6_24;174;rhizo;W5;PASJA_POMORSKA;6;3;24;Xiu;57.61;1.806;1.648
R_W5_T6_57;R_W5_T6_57;188;rhizo;W5;PASJA_POMORSKA;6;1;57;Michael;49.39;1.855;1.958
R_W5_T1_182;R_W5_T1_182;44;rhizo;W5;RUDAWA;1;2;182;Tianci;90.8;1.762;1.421
R_W5_T1_187;R_W5_T1_187;49;rhizo;W5;RUDAWA;1;3;187;Tianci;118.85;1.775;1.441
R_W5_T1_209;R_W5_T1_209;56;rhizo;W5;RUDAWA;1;1;209;Xiu;82.16;1.733;1.41
R_W5_T2_143;R_W5_T2_143;60;rhizo;W5;RUDAWA;2;1;143;Xiu;82.26;1.796;1.694
R_W5_T2_170;R_W5_T2_170;69;rhizo;W5;RUDAWA;2;3;170;Michael;65;1.873;1.75
R_W5_T2_172;R_W5_T2_172;71;rhizo;W5;RUDAWA;2;2;172;Tianci;78.76;1.839;1.808
R_W5_T3_72;R_W5_T3_72;89;rhizo;W5;RUDAWA;3;1;72;Xiu;73.92;1.802;1.517
R_W5_T3_94;R_W5_T3_94;96;rhizo;W5;RUDAWA;3;2;94;Tianci;41.8;1.769;1.691
R_W5_T3_129;R_W5_T3_129;113;rhizo;W5;RUDAWA;3;3;129;Xiu;55.06;1.897;1.624
R_W5_T4_85;R_W5_T4_85;123;rhizo;W5;RUDAWA;4;3;85;Tianci;52.13;1.752;1.487
R_W5_T4_113;R_W5_T4_113;131;rhizo;W5;RUDAWA;4;2;113;Michael;74.93;1.735;1.514
R_W5_T4_134;R_W5_T4_134;136;rhizo;W5;RUDAWA;4;1;134;Michael;73.33;1.745;1.576
R_W5_T5_15;R_W5_T5_15;148;rhizo;W5;RUDAWA;5;3;15;Michael;55.89;1.838;1.68
R_W5_T5_20;R_W5_T5_20;151;rhizo;W5;RUDAWA;5;1;20;Michael;42.55;1.894;2.053
R_W5_T5_49;R_W5_T5_49;160;rhizo;W5;RUDAWA;5;2;49;Tianci;47.53;1.784;1.711
R_W5_T6_27;R_W5_T6_27;176;rhizo;W5;RUDAWA;6;2;27;Xiu;61.88;1.757;1.399
R_W5_T6_54;R_W5_T6_54;185;rhizo;W5;RUDAWA;6;3;54;Michael;68.21;1.789;1.647
R_W5_T6_61;R_W5_T6_61;190;rhizo;W5;RUDAWA;6;1;61;Xiu;62.35;1.812;1.562
R_W5_T1_152;R_W5_T1_152;29;rhizo;W5;SALTO;1;3;152;Tianci;99.47;1.785;1.508
R_W5_T1_178;R_W5_T1_178;40;rhizo;W5;SALTO;1;1;178;Michael;127.91;1.694;1.326
R_W5_T1_206;R_W5_T1_206;53;rhizo;W5;SALTO;1;2;206;Xiu;86.78;1.836;1.729
R_W5_T2_145;R_W5_T2_145;62;rhizo;W5;SALTO;2;1;145;Michael;99.7;1.822;1.675
R_W5_T2_169;R_W5_T2_169;68;rhizo;W5;SALTO;2;2;169;Michael;63.52;1.929;2.033
R_W5_T2_175;R_W5_T2_175;74;rhizo;W5;SALTO;2;3;175;Tianci;67.45;1.834;1.79
R_W5_T3_100;R_W5_T3_100;101;rhizo;W5;SALTO;3;2;100;Tianci;59.43;1.825;1.747
R_W5_T3_104;R_W5_T3_104;104;rhizo;W5;SALTO;3;1;104;Tianci;56.59;1.804;1.858
R_W5_T3_122;R_W5_T3_122;107;rhizo;W5;SALTO;3;3;122;Xiu;71.26;1.844;1.55
R_W5_T4_79;R_W5_T4_79;119;rhizo;W5;SALTO;4;3;79;Tianci;50.3;1.723;1.472
R_W5_T4_84;R_W5_T4_84;122;rhizo;W5;SALTO;4;1;84;Tianci;39.75;1.869;1.526
R_W5_T4_137;R_W5_T4_137;139;rhizo;W5;SALTO;4;2;137;Michael;61.97;1.819;1.822
R_W5_T5_43;R_W5_T5_43;156;rhizo;W5;SALTO;5;3;43;Tianci;44.92;1.953;2.996
R_W5_T5_46;R_W5_T5_46;158;rhizo;W5;SALTO;5;2;46;Tianci;51.31;1.845;1.965
R_W5_T5_65;R_W5_T5_65;162;rhizo;W5;SALTO;5;1;65;Tianci;36.88;1.839;2.007
R_W5_T6_6;R_W5_T6_6;171;rhizo;W5;SALTO;6;1;6;Xiu;67.04;1.672;1.213
R_W5_T6_32;R_W5_T6_32;178;rhizo;W5;SALTO;6;2;32;Michael;53.28;1.804;1.864
R_W5_T6_50;R_W5_T6_50;181;rhizo;W5;SALTO;6;3;50;Michael;61.28;1.798;1.93
