Sampleid,SampleID,Sample_NO,Soil_type,Sampling_time,Variety,Treatment,Replicate,PlotNO,Nucleic.Acid.Con,A260.A280,A260.A230,MIT
R_W5_T6_61,R_W5_T6_61,190,rhizo,W5,RUDAWA,6,1,61,62.35,1.812,1.562,High
R_W5_T1_152,R_W5_T1_152,29,rhizo,W5,SALTO,1,3,152,99.47,1.785,1.508,High
R_W5_T1_178,R_W5_T1_178,40,rhizo,W5,SALTO,1,1,178,127.91,1.694,1.326,High
R_W5_T1_206,R_W5_T1_206,53,rhizo,W5,SALTO,1,2,206,86.78,1.836,1.729,High
R_W5_T2_145,R_W5_T2_145,62,rhizo,W5,SALTO,2,1,145,99.7,1.822,1.675,High
R_W5_T2_169,R_W5_T2_169,68,rhizo,W5,SALTO,2,2,169,63.52,1.929,2.033,High
R_W5_T2_175,R_W5_T2_175,74,rhizo,W5,SALTO,2,3,175,67.45,1.834,1.79,High
R_W5_T3_100,R_W5_T3_100,101,rhizo,W5,SALTO,3,2,100,59.43,1.825,1.747,High
R_W5_T3_104,R_W5_T3_104,104,rhizo,W5,SALTO,3,1,104,56.59,1.804,1.858,High
R_W5_T3_122,R_W5_T3_122,107,rhizo,W5,SALTO,3,3,122,71.26,1.844,1.55,High
R_W5_T4_79,R_W5_T4_79,119,rhizo,W5,SALTO,4,3,79,50.3,1.723,1.472,High
R_W5_T4_84,R_W5_T4_84,122,rhizo,W5,SALTO,4,1,84,39.75,1.869,1.526,High
R_W5_T4_137,R_W5_T4_137,139,rhizo,W5,SALTO,4,2,137,61.97,1.819,1.822,High
R_W5_T5_43,R_W5_T5_43,156,rhizo,W5,SALTO,5,3,43,44.92,1.953,2.996,High
R_W5_T5_46,R_W5_T5_46,158,rhizo,W5,SALTO,5,2,46,51.31,1.845,1.965,High
R_W5_T5_65,R_W5_T5_65,162,rhizo,W5,SALTO,5,1,65,36.88,1.839,2.007,High
R_W5_T6_6,R_W5_T6_6,171,rhizo,W5,SALTO,6,1,6,67.04,1.672,1.213,High
R_W5_T6_32,R_W5_T6_32,178,rhizo,W5,SALTO,6,2,32,53.28,1.804,1.864,High
R_W5_T6_50,R_W5_T6_50,181,rhizo,W5,SALTO,6,3,50,61.28,1.798,1.93,High
