Family,node,degree_old,order,Taxa,degree
Kaistiaceae,b4626f6f1fc371121aa5b25f0105050e,116.4545833,67,Bacteria,1
Chitinophagaceae_S1,be0677bc4b6179f7911f62186f43cfaf,496.8974017,66,Bacteria,1
Rhizobiaceae,c130baecd35f08a8f79bdfbdc0abb6c0,128.8149998,57,Bacteria,2
Xanthobacteraceae_S1,c5985dbbc899a40375e28e33a5368251,5804.840244,1,Bacteria,1
WPS-2,c9ee33cd436d6a777f923f393a5e4511,89.76056866,37,Bacteria,1
Haliangiaceae,cc66ff5b4af8f9bed97f5ad29ee40fba,66.34310775,26,Bacteria,1
O_Chitinophagales,d137b4e08431b06f0173c266746e631a,33.25316266,31,Bacteria,4
O_Acidobacteriales_S1,d1929d4c0d56fd3881eebbfd3ca46c8d,77.75189169,32,Bacteria,1
Gemmatimonadaceae_S1,d393b2777c3aed81c9b53b7cfc31a442,270.119302,36,Bacteria,2
Xanthobacteraceae_S2,d68820236056c00e2edf7e6271924578,6724.135744,60,Bacteria,1
Blastocatellaceae,d972a85264362dd26864c57601e60f68,2649.69972,45,Bacteria,2
Cunidentified119,e1e01f98793a84c71a707c6d0832cfb4,258.3289322,4,Bacteria,1
Gemmatimonadaceae_S2,e23f78cbe0dca06a6cb5469998b08d4d,2021.73077,50,Bacteria,1
Sphingobacteriaceae,e4c8f61d7fd5fa5c18f72960c50631ad,942.8013905,12,Bacteria,1
Chitinophagaceae_S2,eae61ced28fad4df4a7f39a3eb6d7809,84.32394974,42,Bacteria,1
Rhodanobacteraceae_S1,ecdc26766c4d209bfb8621ac584e6964,210.7956946,29,Bacteria,1
Paenibacillaceae,f47edc07fb9d8b875143b434be58645f,275.3270456,15,Bacteria,1
Sphaerobolaceae_S1,OTU1067,143.150783,40,Fungi,1
Bolbitiaceae,OTU1893,4368.843972,55,Fungi,1
Hypocreales_fam_Incertae_sedis,OTU2747,700.2648253,10,Fungi,1
Aspergillaceae,OTU3040,70.07270046,43,Fungi,1
P_Ascomycota_S1,OTU3108,69.98643412,61,Fungi,1
C_Sordariomycetes,OTU3524,76.53262943,27,Fungi,1
P_Chytridiomycota_S1,OTU3526,1517.004475,44,Fungi,5
P_Ascomycota_S3,OTU4307,4713.187845,70,Fungi,1
Helotiaceae,OTU4314,1948.834455,69,Fungi,1
P_Ascomycota_S2,OTU4380,3025.378684,39,Fungi,3
Sclerotiniaceae,OTU4446,14708.38012,11,Fungi,1
