No,Sampling_ID,richness,shannon,simpson,pielous.evenness,Soil_type,Sampling_time,Variety,Treatment,Replicate,MIT
R_W5_T4_85,R_W5_T4_85,543,4.113351539,0.962682778,0.653212662,rhizo,W5,RUDAWA,4,3,High
R_W5_T4_87,R_W5_T4_87,540,4.049241772,0.954864057,0.643598073,rhizo,W5,ATOL,4,2,Low
R_W5_T4_90,R_W5_T4_90,556,4.204462796,0.964862245,0.665182237,rhizo,W5,KRAB,4,2,Middle
R_W5_T4_91,R_W5_T4_91,531,4.129704078,0.960441837,0.658145132,rhizo,W5,ATOL,4,1,Low
R_W5_T5_10,R_W5_T5_10,546,4.210743646,0.966155477,0.668094274,rhizo,W5,DESIREE,5,2,High
R_W5_T5_11,R_W5_T5_11,562,4.286823689,0.966942316,0.677062692,rhizo,W5,ATOL,5,3,Low
R_W5_T5_12,R_W5_T5_12,556,4.132438432,0.962719075,0.653787362,rhizo,W5,DESIREE,5,1,High
R_W5_T5_13,R_W5_T5_13,504,3.94020927,0.951213682,0.633211889,rhizo,W5,ATOL,5,1,Low
R_W5_T5_14,R_W5_T5_14,547,4.034707829,0.958353499,0.639977888,rhizo,W5,PASJA_POMORSKA,5,2,High
R_W5_T5_15,R_W5_T5_15,511,3.946795376,0.956854748,0.632867459,rhizo,W5,RUDAWA,5,3,High
R_W5_T5_18,R_W5_T5_18,569,4.141923802,0.960625948,0.652900673,rhizo,W5,KRAB,5,2,Middle
R_W5_T5_19,R_W5_T5_19,539,4.114530082,0.959188421,0.654167909,rhizo,W5,JELLY,5,3,Middle
R_W5_T5_20,R_W5_T5_20,572,4.1402479,0.961573219,0.652095962,rhizo,W5,RUDAWA,5,1,High
R_W5_T5_21,R_W5_T5_21,553,4.107329036,0.960452811,0.650371528,rhizo,W5,JELLY,5,1,Middle
R_W5_T5_37,R_W5_T5_37,553,4.146015551,0.960288234,0.656497312,rhizo,W5,PASJA_POMORSKA,5,1,High
R_W5_T5_39,R_W5_T5_39,567,4.218562478,0.965678384,0.665350696,rhizo,W5,PASJA_POMORSKA,5,3,High
R_W5_T5_41,R_W5_T5_41,564,4.215545247,0.963163057,0.665431594,rhizo,W5,KRAB,5,3,Middle
R_W5_T5_43,R_W5_T5_43,574,4.223453595,0.964382486,0.664835508,rhizo,W5,SALTO,5,3,High
R_W5_T5_45,R_W5_T5_45,523,4.078442634,0.960812724,0.65155197,rhizo,W5,JELLY,5,2,Middle
R_W5_T5_46,R_W5_T5_46,589,4.285695945,0.967748771,0.671904922,rhizo,W5,SALTO,5,2,High
R_W5_T5_48,R_W5_T5_48,548,4.282841642,0.968811474,0.679139658,rhizo,W5,DESIREE,5,3,High
R_W5_T5_49,R_W5_T5_49,602,4.315515077,0.967753915,0.674272108,rhizo,W5,RUDAWA,5,2,High
R_W5_T5_65,R_W5_T5_65,582,4.158694269,0.963389817,0.653218185,rhizo,W5,SALTO,5,1,High
R_W5_T5_68,R_W5_T5_68,588,4.280156073,0.967156476,0.671215203,rhizo,W5,KRAB,5,1,Middle
R_W5_T5_69,R_W5_T5_69,543,4.178653039,0.963062953,0.663582737,rhizo,W5,ATOL,5,2,Low
R_W5_T6_1,R_W5_T6_1,527,3.982761401,0.954933965,0.635492892,rhizo,W5,ATOL,6,2,Low
R_W5_T6_22,R_W5_T6_22,439,3.817802185,0.950350541,0.627463646,rhizo,W5,KRAB,6,3,Middle
R_W5_T6_23,R_W5_T6_23,496,3.959877414,0.954927676,0.638013207,rhizo,W5,KRAB,6,1,Middle
R_W5_T6_24,R_W5_T6_24,547,4.232777234,0.964971366,0.67139529,rhizo,W5,PASJA_POMORSKA,6,3,High
R_W5_T6_25,R_W5_T6_25,495,3.919458602,0.948787297,0.63170636,rhizo,W5,DESIREE,6,3,High
R_W5_T6_27,R_W5_T6_27,543,4.070393776,0.95348232,0.646390839,rhizo,W5,RUDAWA,6,2,High
R_W5_T6_29,R_W5_T6_29,598,4.244119026,0.966080696,0.663808365,rhizo,W5,ATOL,6,1,Low
R_W5_T6_32,R_W5_T6_32,530,4.097886189,0.960669304,0.65327061,rhizo,W5,SALTO,6,2,High
R_W5_T6_33,R_W5_T6_33,518,3.970571981,0.953159621,0.635294034,rhizo,W5,JELLY,6,2,Middle
R_W5_T6_35,R_W5_T6_35,485,3.886009123,0.951866451,0.628382206,rhizo,W5,ATOL,6,3,Low
R_W5_T6_4,R_W5_T6_4,524,3.960545099,0.946672303,0.632524213,rhizo,W5,PASJA_POMORSKA,6,2,High
R_W5_T6_5,R_W5_T6_5,504,3.990609786,0.954583736,0.641311511,rhizo,W5,DESIREE,6,1,High
R_W5_T6_50,R_W5_T6_50,590,4.149638958,0.959686277,0.650401138,rhizo,W5,SALTO,6,3,High
R_W5_T6_51,R_W5_T6_51,526,4.104298153,0.962160308,0.655083932,rhizo,W5,JELLY,6,1,Middle
R_W5_T6_54,R_W5_T6_54,520,4.090350892,0.960117763,0.654055462,rhizo,W5,RUDAWA,6,3,High
R_W5_T6_55,R_W5_T6_55,555,4.051349593,0.955503311,0.641141009,rhizo,W5,JELLY,6,3,Middle
R_W5_T6_56,R_W5_T6_56,574,4.147380507,0.956448209,0.652860453,rhizo,W5,DESIREE,6,2,High
R_W5_T6_57,R_W5_T6_57,554,4.010724324,0.952268534,0.634893108,rhizo,W5,PASJA_POMORSKA,6,1,High
R_W5_T6_6,R_W5_T6_6,510,3.966546529,0.95600481,0.636234394,rhizo,W5,SALTO,6,1,High
R_W5_T6_61,R_W5_T6_61,514,4.010498273,0.956796481,0.642479146,rhizo,W5,RUDAWA,6,1,High
R_W5_T6_62,R_W5_T6_62,551,4.023724277,0.95102551,0.637498944,rhizo,W5,KRAB,6,2,Middle
