SampleID,Cultivar,Group,Color,Select,root_shoot_biomass,root_length,root_biomass,Bac_richness,Bac_shannon,Fun_richness,Fun_shannon,RE_richness,RE_shannon,Mean
S76_16S,Danuta,c,no,c,-0.080593093,0.128563836,-0.410789389,-0.134537136,-0.033850569,-0.048089636,-1.447697851,1.106499565,1.031184255,0.012298887
S145_16S,Desiree,a,a,a,2.920219683,-0.14181784,3.194320462,1.254135709,0.469878575,0.736733225,0.667424738,-0.068646176,0.293619615,1.036207555
S30_16S,Desiree,a,a,a,-0.151000762,0.669327186,0.466704778,0.709274489,0.279012257,0.834836082,0.985649506,-0.068646176,0.293619615,0.446530775
S73_16S,Desiree,a,a,a,-0.662426575,-0.547390352,0.072963641,-0.83369534,-0.521385745,-1.486931548,-0.103752723,-0.068646176,0.293619615,-0.428627245
S143_16S,Donella,b,no,no,1.365383244,0.128563836,-0.495433709,0.714096269,0.38202846,0.769434177,0.276227548,-1.145863107,-0.978708458,0.112858696
S46_16S,Donella,b,no,no,-0.164425383,0.263754673,-0.107734894,-0.867447805,-0.15474363,-0.309697256,-0.881599558,-1.145863107,-0.978708458,-0.482940602
S98_16S,Donella,b,no,no,1.00945886,-0.277008677,1.028844083,1.736313781,0.571794919,0.93293894,0.596212994,-1.145863107,-0.978708458,0.385998148
S13_16S,Erdkraft,d,no,no,0.065468756,-0.006627002,-0.370354424,-0.443131102,0.029435123,1.358051323,1.047930489,0.469962287,0.664978435,0.312857098
S133_16S,Erdkraft,d,no,no,-1.364005168,-0.68258119,-1.795310475,-0.467240006,-0.029803613,-0.963716307,-0.870151009,0.469962287,0.664978435,-0.559763005
S61_16S,Erdkraft,d,no,no,2.20540336,-1.088153703,2.128922557,-1.151932867,-0.370164579,-0.473202019,0.112756897,0.469962287,0.664978435,0.27761893
S107_16S,Fianna,d,no,no,0.944572348,0.398945511,0.412009777,0.85392791,0.531227255,0.998340845,0.881723771,1.15546397,1.305498723,0.831301123
S34_16S,Fianna,d,no,no,-0.275697528,1.074899699,-0.123434321,0.24638354,0.27253329,-0.113491541,-0.912006096,1.15546397,1.305498723,0.29223886
S97_16S,Fianna,d,no,no,0.109149353,-0.14181784,-0.054947778,1.905076106,0.61392277,1.06374275,1.052868071,1.15546397,1.305498723,0.778772903
S146_16S,Herbstfreude,c,no,no,-0.805110721,-0.952962865,-1.429675554,0.627304217,0.137217854,-0.113491541,-1.125791427,-0.803112265,-0.750263885,-0.57954291
S3_16S,Herbstfreude,c,no,no,-1.084464187,-1.358535378,-1.496429385,0.473007234,0.170341338,-0.211594399,0.836732177,-0.803112265,-0.750263885,-0.46936875
S65_16S,Herbstfreude,c,no,no,0.743728178,-0.412199515,-0.063848878,-0.15864604,-0.022563442,-0.048089636,0.294724999,-0.803112265,-0.750263885,-0.135585609
S12_16S,Inwestor,b,no,no,-0.182045042,-0.952962865,1.928827882,-0.124893575,0.049780622,-0.604005829,-1.21070699,-0.460361424,-0.503271614,-0.22884876
S126_16S,Inwestor,b,no,no,0.376456776,2.156426401,0.352767182,0.752670515,0.184997826,-0.571304877,-0.609260368,-0.460361424,-0.503271614,0.186568935
S92_16S,Inwestor,b,no,no,2.169875067,0.939708862,4.96187514,0.391036962,0.370745452,-0.146192494,0.697538182,-0.460361424,-0.503271614,0.93566157
