SampleID,Time,Plot,Variety,Treatment,Height,Aboveground_biomass,Belowground_biomass,root_shoot,MIT_ric_sha_ratio
T4_DESIREE_W5_2_3,W5,81,DESIREE,Fertilizers,25,18.61,1.62,0.087049973,0.351370362
T4_DESIREE_W5_3_2,W5,107,DESIREE,Fertilizers,36,23.57,2.06,0.087399236,0.351370362
T4_DESIREE_W5_3_1,W5,107,DESIREE,Fertilizers,33,18.25,1.82,0.099726027,0.351370362
T4_JELLY_W5_1_1,W5,118,JELLY,Fertilizers,45,40.38,3.35,0.082961862,0.138102096
T4_JELLY_W5_1_3,W5,118,JELLY,Fertilizers,47,49.93,4.37,0.087522532,0.138102096
T4_JELLY_W5_1_2,W5,118,JELLY,Fertilizers,40,19.87,1.92,0.096628083,0.138102096
T4_JELLY_W5_3_2,W5,136,JELLY,Fertilizers,32,10.94,1.17,0.106946984,0.138102096
T4_JELLY_W5_3_1,W5,136,JELLY,Fertilizers,46,54.09,5.93,0.109632095,0.138102096
T4_JELLY_W5_2_3,W5,140,JELLY,Fertilizers,28,13.68,1.58,0.115497076,0.138102096
T4_JELLY_W5_3_3,W5,136,JELLY,Fertilizers,35,33.24,4.34,0.130565584,0.138102096
T4_JELLY_W5_2_1,W5,140,JELLY,Fertilizers,36,15.23,2.04,0.133946159,0.138102096
T4_JELLY_W5_2_2,W5,140,JELLY,Fertilizers,34,11.1,2.19,0.197297297,0.138102096
T4_KRAB_W5_2_2,W5,90,KRAB,Fertilizers,44,45.22,3.27,0.072313136,-0.091568156
T4_KRAB_W5_3_2,W5,114,KRAB,Fertilizers,28,14.75,1.08,0.073220339,-0.091568156
T4_KRAB_W5_2_3,W5,90,KRAB,Fertilizers,39,23.7,1.8,0.075949367,-0.091568156
T4_KRAB_W5_2_1,W5,90,KRAB,Fertilizers,31,16.77,1.7,0.101371497,-0.091568156
T4_PASJA POMORSKA_W5_2_3,W5,78,PASJA POMORSKA,Fertilizers,51,53.55,3.96,0.07394958,0.300185871
T4_PASJA POMORSKA_W5_2_1,W5,78,PASJA POMORSKA,Fertilizers,50,54.73,4.32,0.078932944,0.300185871
T4_PASJA POMORSKA_W5_1_2,W5,110,PASJA POMORSKA,Fertilizers,57,57.7,4.76,0.082495667,0.300185871
T4_PASJA POMORSKA_W5_1_3,W5,110,PASJA POMORSKA,Fertilizers,46,29.59,2.54,0.085839811,0.300185871
T4_PASJA POMORSKA_W5_3_1,W5,109,PASJA POMORSKA,Fertilizers,37,63.04,5.51,0.087404822,0.300185871
T4_PASJA POMORSKA_W5_1_1,W5,110,PASJA POMORSKA,Fertilizers,52,32.52,3.02,0.092865929,0.300185871
T4_PASJA POMORSKA_W5_3_2,W5,109,PASJA POMORSKA,Fertilizers,37,9.65,0.98,0.101554404,0.300185871
T4_PASJA POMORSKA_W5_3_3,W5,109,PASJA POMORSKA,Fertilizers,45,45.72,4.87,0.106517935,0.300185871
T4_PASJA POMORSKA_W5_2_2,W5,78,PASJA POMORSKA,Fertilizers,43,11.55,1.57,0.135930736,0.300185871
T4_RUDAWA_W5_2_1,W5,113,RUDAWA,Fertilizers,40,53.01,3.48,0.065647991,0.31470564
T4_RUDAWA_W5_3_1,W5,85,RUDAWA,Fertilizers,43,61.4,4.15,0.067589577,0.31470564
T4_RUDAWA_W5_1_1,W5,134,RUDAWA,Fertilizers,47,46.53,3.29,0.070707071,0.31470564
T4_RUDAWA_W5_3_3,W5,85,RUDAWA,Fertilizers,44,37.16,2.85,0.076695371,0.31470564
T4_RUDAWA_W5_3_2,W5,85,RUDAWA,Fertilizers,50,48.17,3.92,0.081378451,0.31470564
